Timestamp,GroundTruth,AIDetected,InferTime,Confidence
1781215505.4570303,False,False,0.000,0.00
1781215505.6867983,False,False,0.069,0.00
1781215505.6908655,False,False,0.000,0.00
1781215505.7638197,False,False,0.000,0.00
1781215505.9696035,False,False,0.073,0.00
1781215505.973283,False,False,0.000,0.00
1781215505.9818892,False,False,0.000,0.00
1781215506.1076102,False,False,0.071,0.00
1781215506.1692472,False,False,0.000,0.00
1781215506.3970845,False,False,0.000,0.00
1781215506.709516,False,False,0.068,0.00
1781215506.7171552,False,False,0.000,0.00
1781215506.9676714,False,False,0.000,0.00
1781215507.057725,False,False,0.080,0.00
1781215507.0648832,False,False,0.000,0.00
1781215507.1642675,False,False,0.000,0.00
1781215507.9010935,False,False,0.070,0.00
1781215507.9053197,False,False,0.000,0.00
1781215507.9084115,False,False,0.000,0.00
1781215508.1410706,False,False,0.066,0.00
1781215508.2606175,False,False,0.000,0.00
1781215508.3496478,False,False,0.000,0.00
1781215508.4762883,False,False,0.071,0.00
1781215508.6444933,False,False,0.000,0.00
1781215508.7287743,False,False,0.000,0.00
1781215508.8166442,False,False,0.081,0.00
1781215508.822631,False,False,0.000,0.00
1781215508.8774965,False,False,0.000,0.00
1781215509.0536678,False,False,0.066,0.00
1781215509.231818,False,False,0.000,0.00
1781215509.2939985,False,False,0.000,0.00
1781215509.607048,False,False,0.070,0.00
1781215510.6236124,False,False,0.000,0.00
1781215510.8533862,False,False,0.000,0.00
1781215511.000475,False,False,0.076,0.00
1781215511.0071945,False,False,0.000,0.00
1781215511.2243516,False,False,0.000,0.00
1781215511.3144348,False,False,0.079,0.00
1781215511.3208427,False,False,0.000,0.00
1781215511.40464,False,False,0.000,0.00
1781215511.5307193,False,False,0.072,0.00
1781215511.695304,False,False,0.000,0.00
1781215511.9183567,False,False,0.000,0.00
1781215512.00864,False,False,0.078,0.00
1781215512.1534517,False,False,0.000,0.00
1781215512.3643656,False,False,0.000,0.00
1781215512.5938573,False,False,0.070,0.00
1781215512.6071835,False,False,0.000,0.00
1781215513.0492282,False,False,0.000,0.00
1781215513.1301527,False,False,0.070,0.00
1781215513.4412832,False,False,0.000,0.00
1781215513.4523027,False,False,0.000,0.00
1781215513.5947182,False,False,0.071,0.00
1781215513.6066277,False,False,0.000,0.00
1781215513.6833463,False,False,0.000,0.00
1781215513.7837627,False,False,0.083,0.00
1781215513.7899146,False,False,0.000,0.00
1781215514.0100284,False,False,0.000,0.00
1781215514.1812162,False,False,0.070,0.00
1781215514.3891845,False,False,0.000,0.00
1781215514.443354,False,False,0.000,0.00
1781215514.751772,False,False,0.068,0.00
1781215514.7829146,False,False,0.000,0.00
1781215514.7933803,False,False,0.000,0.00
1781215514.9321272,False,False,0.068,0.00
1781215514.940057,False,False,0.000,0.00
1781215515.0423603,False,False,0.000,0.00
1781215515.1232774,False,False,0.068,0.00
1781215515.1353683,False,False,0.000,0.00
1781215515.4822161,False,False,0.000,0.00
1781215515.592275,False,False,0.067,0.00
1781215515.802476,False,False,0.000,0.00
1781215515.8182456,False,False,0.000,0.00
1781215515.9478688,False,False,0.064,0.00
1781215515.9825535,False,False,0.000,0.00
1781215516.0376031,False,False,0.000,0.00
1781215516.177103,False,False,0.070,0.00
1781215516.180666,False,False,0.000,0.00
1781215516.3231745,False,False,0.000,0.00
1781215516.5700276,False,False,0.068,0.00
1781215517.701912,False,False,0.000,0.00
1781215517.917635,False,False,0.000,0.00
1781215518.0694005,False,False,0.067,0.00
1781215518.430607,False,False,0.000,0.00
1781215518.482747,False,False,0.000,0.00
1781215518.5640864,False,False,0.070,0.00
1781215518.5720391,False,False,0.000,0.00
1781215518.6456084,False,False,0.000,0.00
1781215518.769162,False,False,0.067,0.00
1781215518.827359,False,False,0.000,0.00
1781215518.936164,False,False,0.000,0.00
1781215519.145143,False,False,0.177,0.00
1781215520.1485708,False,False,0.000,0.00
1781215520.197112,False,False,0.000,0.00
1781215520.334305,False,True,0.073,0.26
1781215520.3404143,False,True,0.000,0.26
1781215520.5607224,False,True,0.000,0.26
1781215520.6880493,False,False,0.065,0.00
1781215520.7406032,False,False,0.000,0.00
1781215520.751128,False,False,0.000,0.00
1781215520.915642,False,False,0.068,0.00
1781215520.9284308,False,False,0.000,0.00
1781215521.0017154,False,False,0.000,0.00
1781215521.0844762,False,False,0.069,0.00
1781215521.1154215,False,False,0.000,0.00
1781215521.1515343,False,False,0.000,0.00
1781215521.3469434,False,False,0.068,0.00
1781215521.5399792,False,False,0.000,0.00
1781215521.551612,False,False,0.000,0.00
1781215521.6863716,False,False,0.066,0.00
1781215521.6940114,False,False,0.000,0.00
1781215521.7604427,False,False,0.000,0.00
1781215521.837379,False,False,0.067,0.00
1781215521.8726325,False,False,0.000,0.00
1781215521.9402273,False,False,0.000,0.00
1781215522.0211174,False,False,0.070,0.00
1781215522.0703187,False,False,0.000,0.00
1781215522.0776424,False,False,0.000,0.00
1781215522.252536,False,False,0.064,0.00
1781215522.459564,False,False,0.000,0.00
1781215522.4726162,False,False,0.000,0.00
1781215522.7533653,False,False,0.064,0.00
1781215522.7595782,False,False,0.000,0.00
1781215522.8397143,False,False,0.000,0.00
1781215522.9247973,False,False,0.073,0.00
1781215522.9468234,False,False,0.000,0.00
1781215523.04768,False,False,0.000,0.00
1781215523.2383788,False,False,0.068,0.00
1781215524.6532948,False,False,0.000,0.00
1781215524.842659,False,False,0.000,0.00
1781215524.9621773,False,False,0.069,0.00
1781215524.9689286,False,False,0.000,0.00
1781215525.4924235,False,False,0.000,0.00
1781215525.7294807,False,False,0.070,0.00
1781215525.7796383,False,False,0.000,0.00
1781215525.792504,False,False,0.000,0.00
1781215525.927264,False,False,0.068,0.00
1781215525.989034,False,False,0.000,0.00
1781215526.165635,False,False,0.000,0.00
1781215526.566646,False,False,0.064,0.00
1781215526.5701442,False,False,0.000,0.00
1781215526.7608883,False,False,0.000,0.00
1781215526.9148984,False,False,0.072,0.00
1781215526.918538,False,False,0.000,0.00
1781215526.9257493,False,False,0.000,0.00
1781215527.0645435,False,False,0.067,0.00
1781215527.0903747,False,False,0.000,0.00
1781215527.1341867,False,False,0.000,0.00
1781215527.6357925,False,False,0.067,0.00
1781215527.6416497,False,False,0.000,0.00
1781215527.718393,False,False,0.000,0.00
1781215527.8139696,False,False,0.070,0.00
1781215528.4005084,False,False,0.000,0.00
1781215528.517148,False,False,0.000,0.00
1781215528.9482355,False,False,0.064,0.00
1781215528.9630597,False,False,0.000,0.00
1781215529.0534794,False,False,0.000,0.00
1781215529.3025322,False,False,0.065,0.00
1781215529.3088644,False,False,0.000,0.00
1781215529.5994217,False,False,0.000,0.00
1781215529.7158105,False,False,0.069,0.00
1781215529.7746923,False,False,0.000,0.00
1781215529.9039385,False,False,0.000,0.00
1781215529.988513,False,False,0.076,0.00
1781215530.0047998,False,False,0.000,0.00
1781215530.054233,False,False,0.000,0.00
1781215530.3714054,False,False,0.066,0.00
1781215530.4007769,False,False,0.000,0.00
1781215530.4771268,False,False,0.000,0.00
1781215530.5579221,False,False,0.070,0.00
1781215530.5666292,False,False,0.000,0.00
1781215530.7781003,False,False,0.000,0.00
1781215531.0667117,False,False,0.064,0.00
1781215531.315645,False,False,0.000,0.00
1781215531.3271027,False,False,0.000,0.00
1781215531.6209297,False,False,0.065,0.00
1781215531.6276824,False,False,0.000,0.00
1781215531.708639,False,False,0.000,0.00
1781215531.875949,False,False,0.065,0.00
1781215531.9815521,False,False,0.000,0.00
1781215532.509451,False,False,0.000,0.00
1781215532.591954,False,False,0.070,0.00
1781215532.6355574,False,False,0.000,0.00
1781215532.645804,False,False,0.000,0.00
1781215532.753108,False,False,0.067,0.00
1781215532.7590423,False,False,0.000,0.00
1781215532.865632,False,False,0.000,0.00
1781215533.210946,False,False,0.069,0.00
1781215533.2189617,False,False,0.000,0.00
1781215533.449402,False,False,0.000,0.00
1781215533.5307097,False,False,0.067,0.00
1781215533.94524,False,False,0.000,0.00
1781215533.9538782,False,False,0.000,0.00
1781215534.258184,False,False,0.063,0.00
1781215534.2645128,False,False,0.000,0.00
1781215534.446843,False,False,0.000,0.00
1781215534.7161803,False,False,0.064,0.00
1781215534.7739081,False,False,0.000,0.00
1781215534.8577707,False,False,0.000,0.00
1781215534.9388437,False,False,0.068,0.00
1781215535.0010438,False,False,0.000,0.00
1781215535.3642905,False,False,0.000,0.00
1781215535.4437091,False,True,0.066,0.26
1781215535.4939418,False,True,0.000,0.26
1781215535.5342143,False,True,0.000,0.26
1781215535.6997278,False,False,0.106,0.00
1781215536.1039681,False,False,0.000,0.00
1781215536.1837711,False,False,0.000,0.00
1781215536.3278346,False,False,0.072,0.00
1781215536.3394558,False,False,0.000,0.00
1781215536.414092,False,False,0.000,0.00
1781215536.530624,False,False,0.067,0.00
1781215536.5841837,False,False,0.000,0.00
1781215536.7340155,False,False,0.000,0.00
1781215536.831813,False,False,0.067,0.00
1781215536.8417473,False,False,0.000,0.00
1781215536.9140737,False,False,0.000,0.00
1781215536.9934812,False,False,0.068,0.00
1781215536.999281,False,False,0.000,0.00
1781215537.0736334,False,False,0.000,0.00
1781215537.157608,False,False,0.066,0.00
1781215537.192053,False,False,0.000,0.00
1781215537.4339728,False,False,0.000,0.00
1781215537.9777422,False,False,0.069,0.00
1781215537.981428,False,False,0.000,0.00
1781215538.0249016,False,False,0.000,0.00
1781215538.1656244,False,False,0.068,0.00
1781215538.1825457,False,False,0.000,0.00
1781215538.2254834,False,False,0.000,0.00
1781215538.3597312,False,False,0.065,0.00
1781215538.3679194,False,False,0.000,0.00
1781215538.474088,False,False,0.000,0.00
1781215538.6490169,False,False,0.071,0.00
1781215538.658034,False,False,0.000,0.00
1781215538.7333708,False,False,0.000,0.00
1781215538.8411937,False,False,0.068,0.00
1781215538.846913,False,False,0.000,0.00
1781215538.912845,False,False,0.000,0.00
1781215539.0200245,False,False,0.065,0.00
1781215539.0714471,False,False,0.000,0.00
1781215539.1316679,False,False,0.000,0.00
1781215539.2683115,False,False,0.064,0.00
1781215539.3335922,False,False,0.000,0.00
1781215539.343264,False,False,0.000,0.00
1781215539.539643,False,False,0.066,0.00
1781215539.546293,False,False,0.000,0.00
1781215539.6128547,False,False,0.000,0.00
1781215539.6905692,False,False,0.067,0.00
1781215539.699187,False,False,0.000,0.00
1781215539.9034655,False,False,0.000,0.00
1781215540.3467946,False,False,0.067,0.00
1781215540.4055922,False,False,0.000,0.00
1781215540.4167655,False,False,0.000,0.00
1781215540.559804,False,False,0.067,0.00
1781215540.5920656,False,False,0.000,0.00
1781215540.6051688,False,False,0.000,0.00
